patient_id,patient
PAT143002,PAT1401614
PAT143003,PAT1401615
PAT143004,PAT1401616
PAT143005,PAT1401617
PAT143006,PAT1401618
PAT143007,PAT1401619
PAT143008,PAT1401620
PAT143009,PAT1401621
PAT143010,PAT1401622
PAT143011,PAT1401623
PAT143012,PAT1401624
PAT143013,PAT1401625
PAT143014,PAT1401626
PAT143015,PAT1401627
PAT143016,PAT1401628
PAT143017,PAT1401629
PAT143018,PAT1401630
PAT143019,PAT1401631
PAT143020,PAT1401632
PAT143021,PAT1401633
PAT143022,PAT1401634
PAT143023,PAT1401635
PAT143024,PAT1401636
PAT143025,PAT1401637
PAT143026,PAT1401638
PAT143027,PAT1401639
PAT143028,PAT1401640
PAT143029,PAT1401641
PAT143030,PAT1401642
PAT143031,PAT1401643
PAT143032,PAT1401644
PAT143033,PAT1401645
PAT143034,PAT1401646
PAT143035,PAT1401647
PAT143036,PAT1401648
PAT143037,PAT1401649
PAT143038,PAT1401650
PAT143039,PAT1401651
PAT143040,PAT1401652
PAT143041,PAT1401653
PAT143042,PAT1401654
PAT143043,PAT1401655
PAT143044,PAT1401656
PAT143045,PAT1401657
PAT143046,PAT1401658
PAT143047,PAT1401659
PAT143048,PAT1401660
PAT143049,PAT1401661
PAT143050,PAT1401662
PAT143051,PAT1401663
PAT143052,PAT1401664
PAT143053,PAT1401665
PAT143054,PAT1401666
PAT143055,PAT1401667
PAT143056,PAT1401668
PAT143057,PAT1401669
PAT143058,PAT1401670
PAT143059,PAT1401671
PAT143060,PAT1401672
PAT143061,PAT1401673
PAT143062,PAT1401674
PAT143063,PAT1401675
PAT143064,PAT1401676
PAT143065,PAT1401677
PAT143066,PAT1401678
PAT143067,PAT1401679
PAT143068,PAT1401680
PAT143069,PAT1401681
PAT143070,PAT1401682
PAT143071,PAT1401683
PAT143072,PAT1401684
PAT143073,PAT1401685
PAT143074,PAT1401686
PAT143075,PAT1401687
PAT143076,PAT1401688
PAT143077,PAT1401689
PAT143078,PAT1401690
PAT143079,PAT1401691
PAT143080,PAT1401692
PAT143081,PAT1401693
PAT143082,PAT1401694
PAT143083,PAT1401695
PAT143084,PAT1401696
PAT143085,PAT1401697
PAT143086,PAT1401698
PAT143087,PAT1401699
PAT143088,PAT1401700
PAT143089,PAT1401701
PAT143090,PAT1401702
PAT143091,PAT1401703
PAT143092,PAT1401704
PAT143093,PAT1401705
PAT143094,PAT1401706
PAT143095,PAT1401707
PAT143096,PAT1401708
PAT143097,PAT1401709
PAT143098,PAT1401710
PAT143099,PAT1401711
PAT143100,PAT1401712
PAT143101,PAT1401713
PAT143102,PAT1401714
PAT143103,PAT1401715
PAT143104,PAT1401716
PAT143105,PAT1401717
PAT143106,PAT1401718
PAT143107,PAT1401719
PAT143108,PAT1401720
PAT143109,PAT1401721
PAT143110,PAT1401722
PAT143111,PAT1401723
PAT143112,PAT1401724
PAT143113,PAT1401725
PAT143114,PAT1401726
PAT143115,PAT1401727
PAT143116,PAT1401728
PAT143117,PAT1401729
PAT143118,PAT1401730
PAT143119,PAT1401731
PAT143120,PAT1401732
PAT143121,PAT1401733
PAT143122,PAT1401734
PAT143123,PAT1401735
PAT143124,PAT1401736
PAT143125,PAT1401737
PAT143126,PAT1401738
PAT143127,PAT1401739
PAT143128,PAT1401740
PAT143129,PAT1401741
PAT143130,PAT1401742
PAT143131,PAT1401743
PAT143132,PAT1401744
PAT143133,PAT1401745
PAT143134,PAT1401746
PAT143135,PAT1401747
PAT143136,PAT1401748
PAT143137,PAT1401749
PAT143138,PAT1401750
PAT143139,PAT1401751
PAT143140,PAT1401752
PAT143141,PAT1401753
PAT143142,PAT1401754
PAT143143,PAT1401755
PAT143144,PAT1401756
PAT143145,PAT1401757
PAT143146,PAT1401758
PAT143147,PAT1401759
PAT143148,PAT1401760
PAT143149,PAT1401761
PAT143150,PAT1401762
PAT143151,PAT1401763
PAT143152,PAT1401764
PAT143153,PAT1401765
PAT143154,PAT1401766
PAT143155,PAT1401767
PAT143156,PAT1401768
PAT143157,PAT1401769
PAT143158,PAT1401770
PAT143159,PAT1401771
PAT143160,PAT1401772
PAT143161,PAT1401773
PAT143162,PAT1401774
PAT143162,PAT1401194
PAT143163,PAT1401195
PAT143164,PAT1401196
PAT143165,PAT1401197
PAT143166,PAT1401198
PAT143167,PAT1401199
PAT143168,PAT1401200
PAT143169,PAT1401201
PAT143170,PAT1401202
PAT143171,PAT1401203
PAT143172,PAT1401204
PAT143173,PAT1401205
PAT143174,PAT1401206
PAT143175,PAT1401207
PAT143176,PAT1401208
PAT143177,PAT1401209
PAT143178,PAT1401210
PAT143179,PAT1401211
PAT143180,PAT1401212
PAT143181,PAT1401213
PAT143182,PAT1401214
PAT143183,PAT1401215
PAT143184,PAT1401216
PAT143185,PAT1401217
PAT143186,PAT1401218
PAT143187,PAT1401219
PAT143188,PAT1401220
PAT143189,PAT1401221
PAT143190,PAT1401222
PAT143191,PAT1401223
PAT143192,PAT1401224
PAT143193,PAT1401225
PAT143194,PAT1401226
PAT143195,PAT1401227
PAT143196,PAT1401228
PAT143197,PAT1401229
PAT143198,PAT1401230
PAT143199,PAT1401231
PAT143200,PAT1401232
PAT143201,PAT1401233
PAT143202,PAT1401234
PAT143203,PAT1401235
PAT143204,PAT1401236
PAT143205,PAT1401237
PAT143206,PAT1401238
PAT143207,PAT1401239
PAT143208,PAT1401240
PAT143209,PAT1401241
PAT143210,PAT1401242
PAT143211,PAT1401243
PAT143212,PAT1401244
PAT143213,PAT1401245
PAT143214,PAT1401246
PAT143215,PAT1401247
PAT143216,PAT1401248
PAT143217,PAT1401249
PAT143218,PAT1401250
PAT143219,PAT1401251
PAT143220,PAT1401252
PAT143221,PAT1401253
PAT143222,PAT1401254
PAT143223,PAT1401255
PAT143224,PAT1401256
PAT143225,PAT1401257
PAT143226,PAT1401258
PAT143227,PAT1401259
PAT143228,PAT1401260
PAT143229,PAT1401261
PAT143230,PAT1401262
PAT143231,PAT1401263
PAT143232,PAT1401264
PAT143233,PAT1401265
PAT143234,PAT1401266
PAT143235,PAT1401267
PAT143236,PAT1401268
PAT143237,PAT1401269
PAT143238,PAT1401270
PAT143239,PAT1401271
PAT143240,PAT1401272
PAT143241,PAT1401273
PAT143242,PAT1401274
PAT143243,PAT1401275
PAT143244,PAT1401276
PAT143245,PAT1401277
PAT143246,PAT1401278
PAT143247,PAT1401279
PAT143248,PAT1401280
PAT143249,PAT1401281
PAT143250,PAT1401282
PAT143251,PAT1401283
PAT143252,PAT1401284
PAT143253,PAT1401285
PAT143254,PAT1401286
PAT143255,PAT1401287
PAT143256,PAT1401288
PAT143257,PAT1401289
PAT143258,PAT1401290
PAT143259,PAT1401291
PAT143260,PAT1401292
PAT143261,PAT1401293
PAT143262,PAT1401294
PAT143263,PAT1401295
PAT143264,PAT1401296
PAT143265,PAT1401297
PAT143266,PAT1401298
PAT143267,PAT1401299
PAT143268,PAT1401300
PAT143269,PAT1401301
PAT143270,PAT1401302
PAT143271,PAT1401303
PAT143272,PAT1401304
PAT143273,PAT1401305
PAT143274,PAT1401306
PAT143275,PAT1401307
PAT143276,PAT1401308
PAT143277,PAT1401309
PAT143278,PAT1401310
PAT143279,PAT1401311
PAT143280,PAT1401312
PAT143281,PAT1401313
PAT143282,PAT1401314
PAT143283,PAT1401315
PAT143284,PAT1401316
PAT143285,PAT1401317
PAT143286,PAT1401318
PAT143287,PAT1401319
PAT143288,PAT1401320
PAT143289,PAT1401321
PAT143290,PAT1401322
PAT143291,PAT1401323
PAT143292,PAT1401324
PAT143293,PAT1401325
PAT143294,PAT1401326
PAT143295,PAT1401327
PAT143296,PAT1401328
PAT143297,PAT1401329
PAT143298,PAT1401330
PAT143299,PAT1401331
PAT143300,PAT1401332
PAT143301,PAT1401333
PAT143302,PAT1401334
PAT143303,PAT1401335
PAT143304,PAT1401336
PAT143305,PAT1401337
PAT143306,PAT1401338
PAT143307,PAT1401339
PAT143308,PAT1401340
PAT143309,PAT1401341
PAT143310,PAT1401342
PAT143311,PAT1401343
PAT143312,PAT1401344
PAT143313,PAT1401345
PAT143314,PAT1401346
PAT143315,PAT1401347
PAT143316,PAT1401348
PAT143317,PAT1401349
PAT143318,PAT1401350
PAT143319,PAT1401351
PAT143320,PAT1401352
PAT143321,PAT1401353
PAT143322,PAT1401354
PAT143323,PAT1401355
PAT143324,PAT1401356
PAT143325,PAT1401357
PAT143326,PAT1401358
PAT143327,PAT1401359
PAT143328,PAT1401360
PAT143329,PAT1401361
PAT143330,PAT1401362
PAT143331,PAT1401363
PAT143332,PAT1401364
PAT143333,PAT1401365
